dsp_id	title	artists	isrc	usages	revenue
ALcgJSJPKmfcuCLgXfgRXhUFluDGZg	home recently much adult	Veronica Adams|Bobby Peterson|Melissa Kennedy|Lauren Taylor	SNUYJ6194725	801261	2165762725890.0
DPqfhubXDAuowXVOgXJRkmZzszeOYL		Michelle Knapp	KNQFJ7036203	404287	83244890331138.0
ZcGukOuFKZJPJWENDeqIBwUcTfXpii	piece scene seat	George Pena|Matthew Sparks|Mr. Timothy Montgomery PhD|Ariel Rodriguez	SZZFW3158914	353231	925969942821.52
aNGtEIBDKPmdMwPCyxIhJHKEwRFWjR	up relate	Angela Brady|Joseph Potter|Stephanie Orr|Brian Barnett	ILSVO1644267	519373	49174252141.23
AjNgvfnhJZxhjMvXFmSrqKuNAUsCrC	modern suffer represent red	Sara Rodgers|Sean Young	BHRUT7410218	623940	782357176081594.0
UDYWoJjuECMWJWaGZftVmMWOgiTCdc	board answer year doctor		MCPXY0221579	125641	832901.0
PJckACliKdeoMHPBrcuoFGeVqPvIxz	administration store purpose	Sheila Greene|Greg Ingram|Kristen Johnson|Karen Martin|Robert Wood		562170	814855734.1
GBkLTLSyzVBgfDbTKUKdhVeznqCmDe	project prove	Devin Harris|Johnathan Young|Jackson Williams	AZRUX4029264	466398	1342133.156246
JXeEkRedwTUujfgrdCZdplprreXNhM	dinner compare	Garrett Tucker|Carlos Edwards|Daniel Vincent	TMFHT4790712	621649	50432975.0
yNadFlugmWZlNOKPsncnMpqdFWPBtt	shake since	Becky Bowman|Mary Wilson	KWJUH3689605	474329	515868070600.2
ePObFjzFBFlLAMNakwhbYzJRaEBWcE	present financial rock	Michelle White|Michael Ferguson	STLBT7326431	380257	5043655434.0
XoIXqkghaZfvcWcrLxkQryxDESLXcQ	another hot	Rebecca Davis|Laura Richardson		765938	74279.97
KmMsVTjOiOQhGzuKcnQYMHocsaOkMm	summer interview	Monica Poole MD|Jennifer Merritt	PYSFX1756241	329139	8573.89
RCvziITNvfecxsQITKSapsdgTQncQL	stage among mother	Bobby Brown|Rhonda Morgan|Jennifer Stewart	LAEVI7157543	224263	9982502924449.3
BDNywIkArcgrpSmUJOtJFdFbOdmtSo	bank this hit trade	Yolanda Hines|Sarah Jones	VUHNN0109532	704694	86.757057881781
zTRzMTkZwuZrWlyIIBBMTxQUGfvxPG	city room we hand	Melissa Miller	SVSGW3641684	890039	454111846031969.0
azkfFsRTaEhMuOtXtocbuopdOreTEv	always minute traditional TV	Carrie Davis|Ashley Paul|Karen Cruz|Eric Chung	SAFRD6148965	955008	8315.53402
nCofgrEuwxZvNkNxPJjNTxGWbDqjZO	war score will animal	Eric Fox|John Norman|Jamie Allison|Taylor Rodriguez	KRLPP3103372	802970	600.887098364
ZjJvjZRPnmYampYjXhJcmeIruKnVoR	community ever plant blood		PEDQD6809354	311761	79.7449722
GWlQfltGtMTGcdQHTljwEnaWIpxJTW	military window	Martin Le|Katherine Ortiz	TLRUL3705344	570888	370297465.565
LdTCBNgsiKhLWLHTVOhsHeXyfebtzT	hundred meet		NPEYM4241430	613245	714.16955890625
uSyIILeJqigDtyfDoxydGZnoISHtuh	never pressure reduce turn	Teresa Bernard	CIKXD7782840	380431	1635800093108.9
mFutoIkbepKYzJzTrdMAhUCksTNdAA	eye issue source	Kathy Murphy	AMYJN4884209	991379	780253883.9
XRprAOlguFhYlRzwCKlwChUWPkXPVM	probably not but their	Marc Caldwell|Anna Suarez|Andrew Howell|Kristin Rhodes|Marie Turner	OMSPT7724527	442481	75219.4228825445
nQSmRZxLyQkCvnprezVJTyuDmiMdYy	bit wonder bill bar	Barbara Shepard|Diane Hartman|Anne Cameron|Jeffrey Lewis	IDEAT5049614	603706	685985452363008.0
jrBjVydnTnuArlHnBNcYUwEawmoIpN	continue may	John Coleman	IRMXL6096237	790733	3888.1535
tYUJQEyJwIgxvTiBDxdJBOiwYKWukK	ago accept into	Christina Love DVM|Melissa Gray|Antonio Mclaughlin|Adam Thornton	RUNES2272576	759089	67191.34800346
doEqriJSbIMlXXbDlBIDmYJvmNlpjR	middle east defense discover	Jeffery Young|Adam Gross|Joan Howell|Kevin Miranda	MVAHK1101948	865462	2753307.3873
tjXlCjLftdWujjQzQNKodDqSlpIHtS	nothing those worry	David Jones|Jeffrey Everett|Debra Williams|Michael Patel|Audrey Mendoza	GTTOO8374733	514966	652467.1
MCfpfRlEPUyiUvyKAAXCvjaeyvLVmt	movie simply cut add	Andrew Douglas|David Herring|Andrew Clark|Jeffrey Mcdonald|Nathan Flynn	KHDIF8393673		837882879797.27
jigZcfDkRhVJUZzlAJCWaQKvOYdpSp	situation term different	Lisa Ayala|Jason Flores	SZOXV3681316	894116	97383.889
OTPqNLcMMntWWeNvhgfoSbxaZIfirr	sure use teach	Steven Alvarez|Elizabeth Turner	JPBPP7528934	902221	30449.7297165717
YsTjNnZQXgzxwcVhuMbYjXPdZzqYZt	PM maintain key hundred	James Simpson|Mrs. Stephanie Martin DVM	INGFL6742971	596560	52433.25742
MRJZRdJfVKNBzDCRjquaspofuldVwl	everyone have left stay	Andrew Nichols|Michael Stafford|Kenneth Miller|Kevin Lopez|Elizabeth Rangel	KRZTS4629999	654560	841454919797.561
XdBijvMQtVrLJmyAAVoYKXaLxLonQU	contain officer heart	Jessica Johnson|Thomas Zamora	BAHRE6112894	210694	2987396.7068
GPNUiRPUAnWSVkiqTDiMEcDclDUmSs	impact maintain radio book	Christopher Sloan|Steven Morris|Logan Nguyen	KRNZC5688712	241988	74.0
BSWMWwzeXSlDavICfxVUnrXPrYFHNH	American personal gas	Tina Miller|Phillip Rangel	TVFFO2991036	846117	4770947962623.0
lHrFivhAMVGZUOdAlXsiyyAekYsscD	politics because	Meghan Winters|Rebecca Dodson	GMVKQ3075808	98316	883030105742097.0
oFpIptMjYPDxbqWXTXpbDTzdKfCbbC	lay should stand not	Mia Nguyen|Shawn Lynch|Brandon Brooks	DMAGS9027229	972430	690000847.5092
jkiCymZBBbabqQUBUFDBeAAHvgUDmT	price condition adult	Blake Cox|Brenda Johnson|Chloe Williams	IDZXM7527279	308449	653554.8
KapGTjSmFBoBAedevRsriNMONKkBoQ	class Democrat about direction	Amber Cook|Phillip Davis|Scott Hines|Ann Guerra	MTYVQ5316496	458934	493002967470.3
aPVLvDABSJFQQxlSKOLZsPUWlPeKKv	to skill soon policy	David Riggs|Rebecca Underwood|Danny White|Ryan Miller	BTDGV4926362	456192	4.368
pzkYgzHKfeZmqWpubFRYUfASTCuVYv	grow ago less	Elizabeth Curtis|Paula Franco|Kevin Moore|Sheila Gilbert MD|Jennifer Taylor	BRQVR9410135	503222	15257478448.3
AvYHcyEHXUTxWHqhLkFMimhxhnlEaN	evidence oil move	Mary Kim|Carlos Byrd|Samuel Santos|Jennifer Jones DVM|Isaiah Holt	CRLVI5483733	159765	98406.0
DgPYtKeCvEmQdNiSuhYkjcfGhDmXOA	commercial practice	John Morse|Robert Contreras|Christy Murphy|Stephanie Jones|Nicholas Powers	CFPWC5872273	977686	22179841710.0
gRYSYSuHyNXFqpNqIfLTcYEUcBGeeQ	control chair	Jennifer Soto|Tracy Ellis|Devon Brown|David Fischer	DZCRL1844068	713632	106.633409
YnAkSFtXJLWHTmChlgzTzjsirOTKGL	point morning they how	Cathy Wallace|Stacy Richardson|Ronald Rice	LTDSR1216199	349224	437927.8007
cRNWgMOwrwHdeiGwsgWrNAUSYgpAJZ	cell pull project	Mariah Huerta|Christian Vargas|Rachel Williams|Jonathan Miller|Corey Ray	SLHRA0244647	135335	34718560085469.0
GXibyaaWAzXTriaXTvcHUvNFJUgjiH	sell fire	Joseph Mays|Larry Taylor MD|Jessica Shelton|William Phillips		809146	99418111732294.0
rMWoraZTXqAEHwdyYhSJuykRwLNqMh	year field democratic		DZOYP0230196	763174	356.83892250021
kImRvesaPYWHtFEfSZkVbDjDxFQkHc	later reach civil	Chad Williams	LTCLT3694886	767399	32293511635.67
kvdEXNVqnhBrSXRqdZBjEwMrMEJjQi	us explain	Patrick White|Mrs. Ariana Flynn|Christopher Richards	YENHF3019918	306935	4.483349
dfeCFzqWYbozwmLCWXsoCFbVZRIWEq	game reach close	Kevin Perkins|Leah Sims|Andrea Lynch	UYRNO3262154	554371	951800969.2512
dyRZOyNbErhIqjLQIGOzjyxLpDidjX	feeling performance throughout seek	Nicholas Green|Thomas Schmidt|Jordan Byrd	RWSTX6457497	826767	4.5398857895739
HoulzmaDdHmybXgHUCfwAtkSjfVqSU	understand civil opportunity	Susan Sawyer|Brittany Bates	ESAVA6160560	914539	11.0
GxuFWGvcgwsMEwAgsvCgqrGmysNEcK	sing method huge		CRICV2591900	996860	977040.0
OwgqnMDkovDsgzydVzSlnBtxsjubPm	budget perform	Lisa Nelson|James Obrien|Laurie Ramos|Benjamin Santana	PTECO2053787	145472	9786.182
gFAzObdjgnUKsfOLAnUzVwkdXigqDM	water until	Jasmine Nelson|Kristina Cordova	KIJSI7750507	137407	5007.904
HriGokseHmTVWHaBawAJdYYVInJLUL		Vanessa Irwin	LUXEJ8555930	196740	534100.90962203
fVUzuXuCWHHdWABBEYbFSNJhWIbEQm	lay decide three after	Kimberly Wright|Christina Berger|Keith Ford|Helen Smith	BOZOZ0466030	821899	42484926007376.7
PWcgUtKtEiQiENDBRqIPqFikxjSWBv	none worry	Sandra Jackson|Anthony Burgess|Martin Henderson	AZKNJ0669442	633041	84651863.61042
TdecLJifPsFUYTvOXBxWqyGdQkAaES	just notice	Katrina Benjamin|Julie Aguilar|Edgar Ortega|Laura Tran	LIHYP8547810	451263	9387198276.9
ifGulkijrXFhDzGJwRzUBkuehUBxZi	window building professional game	Richard Green|Kyle Green|Tyler Patton|Sherri Lee|Wayne Taylor	KIYUO7356374	600772	8136409663588.12
OTbqvtIFlxSryotfXUGOAzLNUKxQnQ	ever successful	Matthew Mahoney|Sara Wright MD|Michael Bauer|Thomas Haas|Walter Jacobson	NOAWS2346680	528264	5414.4
uUnBFmwEctemSbHyikUHTHweVZawoC	serious add	Mr. Timothy Yang	PHOEW6994237	347513	877.7
edrbCdtLEVQCjChzZLnCFXNEbusjta	prevent town	Marie Tran|Jennifer Lopez	SRVVP8354848	462257	79374266696170.0
JWmhTExzSNmLgFxuGDyqTzBqVAByIi	student resource election	Christopher Gonzalez|John Smith|Paula Mathews	DJVBO4196004	116742	5766506.411
uEBVfEyKCDbPLUvLPTIQCpcCBelCBU	sport budget idea little	Veronica Martin|Gary Stevens|Emily Robinson|Michael Graham|Alicia Mitchell	ZAYXU7238740	935175	1716313032.6
hSahnYZUDCgTqtuTILqwJKepfPVkGm		Daniel Coleman	TZDDV3287707	460949	2229524915422.82
IjOhGypeivdtcVjiSztUFdGFPjMgKj	couple bring yourself minute	Sarah Evans|Jessica Jenkins|Kayla Lopez|Jeffrey Sellers|Nicole Taylor	WSXYA0020651	213789	7987530.9721
cRkGhpfDkGQLBkWkqfNSstIQJKnMJO	still onto firm	Lisa Taylor|Erica Castaneda|Theresa Rhodes	DMYKV6197472	296441	38222823754.22
qiDyHLvBTqPZXqMBpVGjbAIdtOJyxH	of community each	Keith Lutz	CMKJM0815770	259006	689.40658
vDUSigcfKNvjHBXWSBSgASWmNVVrTh	in medical	Robert Juarez|Brian Rice|Stephen Quinn|Mrs. Donna Owens|Jesse Douglas	CYNZI1061564	997086	2175434911.0
BAKiBVgfqkxCEXSgTlUsomNKpQhMXp	read record		PADEO3367169	51661	5365346.0
XThRKOenNwDryNMHPSubxeWRIWcQbW	Mr hear use second	Karina Andrade|Lisa Munoz|Stephanie Hernandez|William Moses	SRGIW3734540	811172	2177.26
DSXnETIXVxmmxjvQjTXiChsBpNgavB	respond home a	Phillip Brown|Christopher Acosta|David Williams|Christie Miller DVM|Timothy Rivera	AUNZU2388394	34265	43537242.95072
acjhLDZjVgeNvgqLMHqYqcYcAzSMjj	democratic deal price	Jacob Burke|David Cuevas|Amber Miller|Jacob Humphrey	CMLQP7420182	286591	245611118205.7
lGKBjzOkYqaAGAwLSsWkpLymJCtsId	skill thousand word	Samantha Palmer|Louis Riley|Brittany Ramirez|Brad Bates	SVOEI8872848	105688	5.9687
QARAcskGDXgnUYeqmJzyVsCHPLSFfW	one kitchen rock career	Ruben Pacheco|Cynthia Parsons|Christopher Strickland|Tina Mcconnell|Cynthia Robles	ILDZZ0374791	860572	47196456848573.8
GBBSSEUpbbrFgputyBxGYDsYzvUBnW	easy offer ball	Wanda Davis|Carrie Singh|Michael Shaffer	CVEAC9413128	92479	43431025469737.8
qYwSCaguROpdSLlVmgBsYkFSlvhwZU	lawyer financial need	Erika Kelly|Jacob Vasquez|Ricardo Reese	STMMX5477007	651769	173779015413.8
vRITgASPDGVOsjZuUIPRBLJUnowgsc		Christopher Riddle|Brianna Mcclure	SYENU5471134	25060	3.0
YgSmAASLvaerRGvyyoCiywgKPOMKHM	action left more	Emily Dunlap|Stacy Greene	UGEVE7237217	52728	666295345008.1
oXsmDoAdqWrGOqvYNkIOOTAyzhqdQF	push hour how fine	Christopher Johnston|Patrick Escobar|Joseph Vazquez|Trevor Strickland	BGCET2772334	193740	203389942.9
ODjnVmPTzAvPsvziyjDFXvXtnUAitm	fear style election poor	Amy Navarro	BFGDI8169468	891319	642816091639.4
AskpGNoIXPKuMNGIaoAgqPcZmzXoEh	there well	Cheryl Gonzalez|Richard Mcknight	PLHBZ1581497	429869	6557366254.8
jDHxzpxoZTXugMJBLwFrpjtTCZLNcn	very everyone	Gwendolyn Lewis|Sarah Mullins	BEFZC1372319	571246	28435456.71
QacUQTbpsCMklQsgiMkXajhAXoJakv	my military letter	Benjamin Wood MD|Angela Delgado|Ms. Melissa Guerrero	SYVXL4924189	552818	6269729241826.35
EJZeJjChCJdhBYkQqbQbGopJqQfUzz	road military his tend	Dr. Justin Mercado MD|Rebecca Maldonado|Jessica Cook|Savannah Edwards|Christina Howard	GNWNP5890859	166614	55495902595364.0
jTdCkbzfhZSnlBNNrCEJquJvwSeize	away turn	James Ray|Misty Allen|Ryan Todd	OMTJK1008788	754749	64158229.0
UPJOoQBnrYozFHjNesrOxXniCEhwIQ	accept task plan sign	Sara Adams|Clinton Howard|Eric Ochoa|Ashley Cain|Richard Smith	DEBMV3010192	515743	3469026.832
lhAFwrjPqdvLLatPpnToCIrmpnzuJM	rather ball	Mark Wade|Matthew Robinson|Thomas Smith|Kyle Cruz|Matthew Carroll	STIMX5992352	430322	9.9542050616
XDfKvJTUxWtXQDGlWqMuLFCRAPFieL	evening young	Valerie Moore|John Chaney	VAFZB9476469	455248	12944098.4
LBbmnRRAyATuveUFDryRttHyjTxzyg	administration capital others political	Mrs. Kelsey Ellis|Christopher Hill|Michael Rivera	BFHLD8899074	409992	423469761.503
jsmTShSTPFDgSjFXqqDsaTIyisiWIg	check two	Patricia Medina|Brittany Rios|Jennifer Miller	AUXLC4793009	567940	7477555.5888508
PUfVzhWxoLWVeYhEKhefcnSGtVNvhz	too whether	Kimberly Miller|Mark Russell|Angela Wilcox|Ryan Smith|Molly Jackson	DJEZI2076609	524341	3172.2706916
GBlcniIuJWbHETHKpBkMktYOMUNTbu	do prevent guess	Alec Stephens	SAAFI1758143	483939	47943968844.0
ryeVrqfvYuYFUnAonfFklYAmDtUPqE	increase officer		MZOQA8931539	879101	332.353353824
wOytDjBqLHEtYJaLwdYfVUoasHcYLs	individual oil stuff	Robert James|Stephen Alvarez|Sean Curry	NAPNF7074413	150030	5389283535016.0
OwPlSOmREGULrtjPYyUeXxSHavdrbG	point heart return	Roy Huffman|Melissa Chavez	MUUEN6545189	732471	84.411394503065
wfqljssXZhHpBaZqHKkFqRIunBkxoD	situation news institution adult		SGSGZ7100410	402088	96542527929369.5
HKlmWdOdbJWJtxXKtsMRValUxRJqXB	group something yourself	Mark Stewart	MMLFZ9398339	462870	55.1784
vLObDDtGDsITgHbTeLDqQXoDMyblBo	trip better great	Matthew Strickland|Shari Avery|Judith Webster	VUOPK6169980	876078	775.7765184
iWKtKIbhUhYpcDHrggFXdzAoYcUSOz	might lose	Lisa Moody|Linda Hill|Marie Stewart	MYJFN2679202	723864	5274685326645.7
MTMuqAtTWPFhzEWKULfVRYOiwcpOfw	relate medical them record	William Thompson|Timothy Williams	KZODN6798906	121610	924.0
CBJyTPRpFgZmURjOUVpIffAojLezOH	program woman level compare	Jose Miller	AZFYS7534527	696860	
hQjNaMAlhhnABoTjNmlAMGhWobYJyb	letter unit truth investment	Martha Hardin|Pamela Jones	RUBKZ5275158	698068	33458.100567
nLBoicmHHXGuoscMFeEGQdcSJJCkVb	before discover apply toward	Helen Snyder	KPRRF3460133	537016	1.5996033702698
XsZNufYBlVSITJYPSfThSwrZeRJuax	serve tax	Tina Powell|Tanya Smith|Charles Cordova|Nicole Martinez|Robin Jordan	BEXNT8920312	261687	699657025964.26
bNrKnYWfiIoDLcdkiIMWZVEifIVFPH	resource dinner	Amy Ellis	MMGJP7151136	36053	3123024407528.73
qcnplKPnHmcyHPNOCjNEEoShDItDwd	them including	Miss Frances May|Sheryl Warner|Lynn Sims|John Greene|Marcus Buck	CHKJK8840456	60364	782.724834
qUnSInQTeFkxfmoMANketLNDbLQCib	skin on	Warren Norris|Erika Hernandez|Stanley Friedman|James Gonzalez	SBIKN9082139		66.942366064988
SQEOGZYZmHJBIgshTmCwGRsbxmpAEq	beautiful enter	Courtney Roberts|Patricia Dennis|Shannon Powell|Christopher Vega	LUVJQ5813201	571244	561813535847.0
HirgVBILZDhYLQaWlKrATOswWVMpxA	yourself report author	Michelle Castillo|Kenneth Johnson	MEQGD1505739	547715	59747.872
tCBHUmHqJkSzwTwiQcetrSGTcukohc		Mrs. Kathryn Johnson MD|Robin Weber|Harold Potter|Brandon Ortiz	ERSOH9369316	129817	5982743.7532363
WCrRBvsUKeuCHQSGxgLMOzSYqevgbG	religious visit	Lawrence Morales|Jacqueline Jones|Sandra Jones	ERMNG6851537	288039	65399.64
EhrzfAhUHiITMOGOsQREMAacsvGBGj	kind imagine bring	Elizabeth Joseph|David Leblanc|Dr. Linda Clay	HTDDZ6235990	827696	2.0
kewWCjJJVMgvQMxpqhIRPDjUJIpdpB	experience production condition though	Lori Anthony	VESOZ0592317	142222	83428953861616.1
NhWpnwosoETsAMHxWaSAiPFdsyhIuk	whom million life window	Paul Solomon	BSXCT5564232	58399	5.635673565426
zMkcOWtBgzqyjpyFhcxRABNIZIBxvm		Regina Davis|Tanya Graham|Richard Walker|John Summers	SDGPM6610878	559924	4155027.21674
OjKicxlgzIjDIiiIUgmtzkzDAHffmu	difference some	Craig Jordan|Richard Clark Jr.	MUMYO0047804	410351	181602551346.1
ZhFKExBPrlGhPQgIAfcKIxwHzqynCe	skin student world happy	Joyce Haney|Robert Cooper|Michael Baker	MAIZP4510476	27704	791538.732456
KSTgGRbhOOPtPvvttNrzXYHnqdeZlh	far evening save exist	Jesse Herrera|Randall Lane|Cheyenne Kramer|Michael Bowers|Robert Sanchez	GMPIZ7801948	415586	816593660673701.0
BMWRPLllqIBQFcyMtJqRrTituyKYzK	us money eight lose		CVPSX6705277	152418	73996.135
XyvJigGblRclXoffeiWftgzAsjgeal	past nor within task	Dr. Lisa Smith|Gregory Cox|David Atkinson|Anthony Fox	SLYGN1498659	385186	720783792220354.0
btLMNQVCihvszqWDUSWTVuxTAlDWmF	mother change positive	Ashley Mercer|Anna Owens|Cheryl Norton	BNOXK4824117	53864	4685346808.24
dnQNTSmTRpYcaNkiKarvzmmArxhHJO	bit share	Jerome Crawford	JOPRF4325673	391561	50639742.0
UIYiNvtuNSolwmjIRxCPQfMsskekRz	plan yard put	Lisa Sosa|Brandon Fitzpatrick|Lauren Morales|Laurie Cobb MD	NRUTH0013330	291170	7757539634038.0
dHNlAmVkxBPhcfrdqphdRQFaduYyFj	activity subject	Kimberly Hill		775658	14817.0
PpRtpTRlpQtMAXQNDJznLOGKdghPKT	research than		BBHCV0709539	953747	239734044505.5
IQCLiRKFJiicQRclEYrJSHShgPvjsI	citizen general	Sydney Johnson|Kimberly Jones|Karina Mcpherson|Matthew Lynn|Jessica Blake	SBRVE6480786	373169	7018.54
AaJxLvSgWhdzzQrAtqyeEQqtDVeMCG	star really put	Debbie Young|Jordan Freeman|Ryan Riggs|Connor Sullivan	ERFEO9624225	752846	111734908133.379
ppZHpQgXbtjAhrBkUJVAttpnPFRJEf	security price staff		MYIIO9252357	826168	46.551
qBkSJCNAETOVICbsWAcyqtyvWfjCRx	nor though arm	Darrell James|Kathleen Flores|Tyrone Haley|Bryan Ashley|James Mason	NGANZ6386405	516777	5872693.186965
JkGXWWXWyYujEJfXVkTuHfchQaKwhA		Leonard Roberson|Todd Sloan|Cindy Austin|Stacey Huerta	LCGJE3441102	940288	21105548923.0
LiJGsmCbbGqhJOECuDylQEOLSVbdVR	discuss staff age	John Moore|James Haynes|Adam Haynes|Anthony Miller	GQPJE1118468	650793	669736637.0
JnNwLbStUBIBHulDjujaPCXWicELts	evidence cultural anything ten	Sherri Sims|Regina Nguyen|Barbara Pena	MYPSM8132140	218450	46145827.9
LsrGiAAXWBJFabxqVcxWLiyayDvzCS	two air speech	Daniel Stout	AZMWF8571006	821805	50.8423521
pRXYJaVQNUBRIzMdGxaZgJEdJGjDGY	economy authority	Natalie Stone	AMPDV8325317	13442	167090130.88
CxYgkBAGWPRTubNasbqnplpCAtAZok		Robert Foster|Joanne Nguyen|Randy Vang|Ronnie Curtis|Tammy Clark	CRERP0944638	65070	2521246951.0
hizLuFZGJsnJVQoiZSMYwZXdhuoiGW	nearly leader	Kimberly Stephens|Jim Hill|Katherine Murray|Rebecca Moore	NRTGA7611864	533835	31187.2618367
gNGvEAKjoHJaiQTssKBJqUvTLPPwJq	myself open approach full	Laura Li|Donald Wade|Angel Neal		860114	5.316662948928
EJyHSLRpWfaDsnmvnLyNxEdeszKLug	and source human	Jonathan Cooley|Jessica Patterson|Billy Mata|Hayley Martin	HNOJL1380435	87288	3177721150.0
RPvPAUOgsLKgpsrjuhOTphQPwHsBzJ	option add old those	Adriana Hoffman|Jenna Solis|Brent Wiggins	SNMMB8054508	233221	8793.27913
ZZVJPsSxxpypqGFjycMGxyleKThXrL	hold than	Amanda Meyer|Michael Smith|Benjamin Scott	DZVKO8861896	449160	
yUHyYrskfgyereOJtGiBtctsdESrEj	thus blue draw player	Karen Cherry	BYELP1341883	757929	7047163586679.37
OifZbfbYqLdICBDpiOBfmkLfZJDANR	improve most which finally	Mrs. Brooke Fisher	DMKYP5105625	650158	8790.216677
wMJPaMMCmzAvNPBsUrkucodnYjZgdi	medical pull imagine	Troy Ross	CLQSK4953721	429527	234387.62
gdkXSptopEXhLvWLXfwQUqiqEXYOTE	accept media	Breanna Moran|Rebecca Dickerson	EROVR1717158	790077	65.0
CYRCOaJARtzbwRPflVhtzdWpyDaOTZ	positive protect your	Javier Armstrong|Keith Nelson		430448	20879393.64818
ImSGwHZdzwYbnSwVWyiNIqQkxCqNYq	follow choice one policy	Scott King|Austin Solomon|Mark Thomas II|Jennifer Cox	SMGKV8888122	144713	20348.91693
TwxqzFILZFQbfbnwddKEPAAfxJnRha	actually start	Dustin Johnson|Amber Miller	ETCUD2294709	346512	893535537806935.0
CTzUZQxANPRwfBuvtyKlqkNdIcOCpC	computer technology	Kyle Davis|Kevin Obrien|Margaret Thompson	THADO8679060	378467	21.547075264776
ixGbbdnEgUnbKBhSnZPFsDLIzXBpmY	we camera dream	Cynthia Fernandez	LKATH0836873	837487	568961861956.48
QWswkGtGfIgDiXjCJHQnCFNyqBuTmN	letter relate too	Lori Stokes|Anthony Nguyen|Bryan Boyd|Anthony Conrad|Nathaniel Mckay	KWETT1881657	972110	99034629002.2837
CbXeivSvBswrybQhtlmOnAgxVawwrR	hold prepare	Dr. Rachel Norris|Nathan Garcia|Sarah Curtis|Stephen Phelps	HROYM2167263	129593	19457897.9855
TQKCDrVxYyCmzXyaXUOWCVdEtlbJCz	evening television significant allow	Robert Rogers|Cheryl Smith	NOAXL6062628	130297	90.0
DaesIiinKnHOzSEKtzoKjBMfQQjIOb	son southern lot myself	Diane Powell|Janet Lucas|David Rubio|Kenneth Stanley|Jonathan Martinez	CATII4074903	84575	9.58
EHwrrlrtVETbcpzpWFlLsNwEgMslLt	sing door since	Justin Hardin|Dustin Gonzales|Courtney Allen	SYSNU9115844	810320	685162.0
OUiWNOvwKKEqxPJMnLfozyAbLowKrI	law firm	Charlotte Parker|Cindy Jordan	CRBFA5081479	186037	34098859.0
zvHbuKRYYxuOEXnMwNyKUISRbPJkFE	officer inside daughter		LYMJK2785403	132305	93.5581844586893
vLgxnTtIlwkJtWxXPMdTxFqKBpFCGr	institution study	Renee Moore|Jamie Wright|Karen Ferguson|Shelly Hardy	YEFVK6970615	428519	84057613595.13
nrRQcJAPIlpQfYIEKaQBIhtSuFodgU	rest both government cell	Kimberly Townsend|Leah Mason|Traci Porter	BGQLO6042618	91390	81596955610275.0
LzvBxSgtztsiEibMhtAnopqRqhwSgg	high song	Chelsea Gomez|Glenn Ramirez|Crystal Townsend|Christopher Mills|Frank Hernandez	GHVMX9710558	605796	383277402242032.0
wEmFhWndwWVuyufLrBKGhoNbDOGuor	poor industry	James Porter|Andrea Graves|Matthew Allison|Rhonda Cox|Craig Collins	LINKG3781736	54956	3.61628375
mfOvFUFvyAHzUgBItnLejKwgYjiXNg	thousand southern eat cost	Ronald Cole	ISCFX4957605	627641	788676.2
fYebRfDyUfEPrsWTQuPFLsnxzprztG	board just miss resource	Crystal Hull|Michael Ford	BWQRN7061946	273668	660.6441976255
QoRpouLfAIOpMdGcHoTASDQhtfVbQh		Hailey Wilson|Melissa Humphrey|Christian Oliver|Rhonda Ryan	KWZXP0806326	418156	958066151072829.0
